pretty_name,population,WSP_Art_new,wsp2,cb3,outdegree,closeness_bi,betweenness_bi,indegree,position,singleton
Macanet de la Selva (Spain),3111,semi,core,core,0,0.3188690995142608,0.0,1,Isolate,0
"Opal (USA, WY)",64,core,core,core,0,0.2999086287280651,0.0,1,Isolate,0
Soria (Spain),33589,semi,core,core,0,0.3336113210497511,3.666478599194812e-07,4,Isolate,0
Alagon (Spain),6458,semi,core,core,0,0.3059658683493475,0.0,1,Isolate,0
"Towanda (USA, PA)",3477,core,core,core,2,0.3259906285015789,0.0001566635704777609,4,Isolated Clique,0
Figueruelas (Spain),296,semi,core,core,0,0.3324071669696183,0.0,4,Isolate,0
"Dennis (USA, MA)",3246,core,core,core,0,0.3339333228987322,0.0,1,Isolate,0
"Crescent City (USA, CA)",5836,core,core,core,0,0.3257251908396946,7.361150052407849e-08,3,Isolate,0
"Pleasant Valley (USA, NY)",3283,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Grinnell (USA, IA)",6644,core,core,core,2,0.3298291721419185,6.361746263688374e-08,2,Isolated Clique,0
"Wellsboro (USA, PA)",3884,core,core,core,1,0.3270734324697225,1.528955894587305e-06,1,Isolated Clique,0
Gualba (Spain),1,semi,core,core,0,0.2943232244269193,0.0,1,Isolate,0
Colleferro (Italy),224,core,core,core,0,0.3476171079429735,0.0,2,Isolate,0
Anagni (Italy),8382,core,core,core,0,0.3238381947431,0.0,1,Isolate,0
"Victor (USA, IA)",194,core,core,core,0,0.2782160787637739,0.0,1,Isolate,0
"Jefferson (USA, OH)",2681,core,core,core,0,0.347758761206194,0.0,3,Isolate,0
Ferentino (Italy),9976,core,core,core,0,0.3303483870967742,3.083349382499907e-07,3,Isolate,0
"Albion (USA, NE)",1567,core,core,core,0,0.3056079451858572,1.879440098264133e-07,2,Isolate,0
"New Milford (USA, CT)",9741,core,core,core,2,0.3596594740391099,9.572729772181539e-08,8,Isolated Clique,0
"Pioneer (USA, OH)",703,core,core,core,0,0.32872807580699,0.0,2,Isolate,0
"Angola (USA, IN)",7459,core,core,core,0,0.3425383318616039,1.879392603911982e-07,5,Isolate,0
"Meadville (USA, PA)",9552,core,core,core,0,0.3417701241489788,4.482626838816001e-06,7,Isolate,0
"Titusville (USA, PA)",5531,core,core,core,0,0.3121738282202605,4.450536552357011e-08,2,Isolate,0
"Austin (USA, PA)",261,core,core,core,0,0.2999086287280651,0.0,1,Isolate,0
"Osterville (USA, MA)",539,core,core,core,1,0.3340901973066082,0.0,1,Isolated Clique,0
"Promontory (USA, UT)",6,core,core,core,0,0.3295659337830184,0.0,1,Isolate,0
"Ord (USA, NE)",551,core,core,core,0,0.3285340314136126,0.0,2,Isolate,0
"Hillsdale (USA, IL)",365,core,core,core,0,0.2793453355155483,0.0,1,Isolate,0
"Andover (USA, OH)",1252,core,core,core,5,0.3215281440735438,0.0,4,Isolated Clique,0
Ardea (Italy),19339,core,core,core,0,0.3276846281837962,0.0,1,Isolate,0
"Conneaut Lake (USA, PA)",333,core,core,core,0,0.3276846281837962,0.0,1,Isolate,0
"Beach Lake (USA, PA)",246,core,core,core,0,0.3276846281837962,0.0,1,Isolate,0
"Versailles (USA, CT)",227,core,core,core,0,0.3277685315580591,0.0,1,Isolate,0
"Lisbon (USA, CT)",106,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"La Porte (USA, IN)",17457,core,core,core,2,0.3533162209157903,3.76017904126253e-07,8,Isolated Clique,0
Cisterna di Latina (Italy),19542,core,core,core,0,0.3355614973262032,0.0,2,Isolate,0
Smolyan (Bulgaria),9058,semi,semi,core,0,0.3250717387440006,0.0,2,Isolate,0
"Rock Springs (USA, WY)",7079,core,core,core,0,0.3449009834298801,1.015886323350765e-07,9,Isolate,0
"Montezuma (USA, IA)",926,core,core,core,0,0.3274415511331662,0.0,2,Isolate,0
"Delta (USA, OH)",2725,core,core,core,0,0.3205137835198678,0.0,1,Isolate,0
"Pawling (USA, NY)",46,core,core,core,3,0.3231188631143196,0.0001562377939223498,1,Isolated Clique,0
"Hyrum (USA, UT)",7972,core,core,core,0,0.3203212971999099,0.0,1,Isolate,0
Kardjhali (Bulgaria),32598,semi,semi,core,0,0.3010795681727309,0.0,2,Isolate,0
Frosinone (Italy),34519,core,core,core,0,0.290865712338105,8.061107097673054e-09,2,Isolate,0
"Linesville (USA, PA)",817,core,core,core,0,0.2598923967109938,0.0,1,Isolate,0
"Blossburg (USA, PA)",680,core,core,core,0,0.3383732917448653,0.0,1,Isolate,0
"Gardiner (USA, NY)",363,core,core,core,0,0.3064346244075262,0.0,1,Isolate,0
"Pocasset (USA, MA)",396,core,core,core,0,0.3282896930218244,8.928127168486389e-08,2,Isolate,0
"Prophetstown (USA, IL)",1320,core,core,core,0,0.3231841248201167,0.0,1,Isolate,0
"Shipshewana (USA, IN)",226,core,core,core,0,0.3019103773584906,0.0,1,Isolate,0
"Williamsburg (USA, IA)",2624,core,core,core,0,0.3236744291891072,4.469707853657075e-08,2,Isolate,0
"Kane (USA, PA)",3644,core,core,core,0,0.2592607594936709,0.0,1,Isolate,0
"Canton (USA, PA)",1760,core,core,core,0,0.2849415692821369,0.0,1,Isolate,0
"Harlan (USA, IA)",4468,core,core,core,0,0.3255429530542699,0.0,1,Isolate,0
"Monticello (USA, NY)",6983,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
Vila Verde (Portugal),6025,semi,core,core,0,0.3240595412890487,0.0,1,Isolate,0
"Lagrangeville (USA, NY)",148,core,core,core,0,0.3365849810685738,0.0,1,Isolate,0
"Riceville (USA, IA)",648,core,core,core,0,0.2812108697084862,0.0,1,Isolate,0
"North Falmouth (USA, MA)",319,core,core,core,0,0.3340901973066082,0.0,3,Isolate,0
"Mashpee (USA, MA)",429,core,core,core,0,0.3556228469829981,0.0,4,Isolate,0
Tarrega (Spain),10735,semi,core,core,1,0.2822027733074668,0.0,0,Isolated Clique,0
"Lebanon (USA, CT)",169,core,core,core,0,0.3128757882387447,0.0,1,Isolate,0
"North Franklin (USA, CT)",163,core,core,core,0,0.3276846281837962,0.0,1,Isolate,0
Neiva (Portugal),230,semi,core,core,0,0.2910045693241492,0.0,1,Isolate,0
"Cotuit (USA, MA)",11673,core,core,core,0,0.2922802931707651,0.0,1,Isolate,0
"Wayne (USA, OH)",1013,core,core,core,0,0.3128757882387447,0.0,1,Isolate,0
"Oskaloosa (USA, IA)",8623,core,core,core,1,0.3435403359991412,1.392629889911722e-06,4,Isolate,0
"Washington (USA, IA)",6150,core,core,core,0,0.3242319090195284,2.571295763402841e-07,4,Isolate,0
Morra De Sanctis (Italy),400,core,core,core,0,0.3365849810685738,0.0,1,Isolate,0
"Bloomsburg (USA, PA)",14570,core,core,core,0,0.3556327267676066,0.0,7,Isolated Clique,0
Melfi (Italy),12291,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
Kilkis (Greece),16688,core,core,core,22,0.3362843482372721,1.128022434381571e-05,4,Low-status clique,0
"Julesburg (USA, CO)",826,core,core,core,0,0.3211167971101746,0.0,1,Isolate,0
"Francesville (USA, IN)",884,core,core,core,0,0.3119760187170988,0.0,1,Isolate,0
"Blairstown (USA, NJ)",417,core,core,core,0,0.3212699209436567,0.0,1,Isolate,0
Luogosano (Italy),340,core,core,core,0,0.3185913389746142,0.0,1,Isolate,0
"Winnemucca (USA, NV)",6928,core,core,core,0,0.325584352824478,5.98922956316783e-07,4,Isolated Clique,0
"Mount Pleasant (USA, IA)",7490,core,core,core,1,0.3372500461048028,2.580860947479773e-06,9,Isolated Clique,0
"West Salem (USA, OH)",683,core,core,core,0,0.244233300898632,0.0,1,Isolate,0
"New Washington (USA, OH)",853,core,core,core,0,0.2768561974176525,0.0,1,Isolate,0
"Lewisburg (USA, PA)",7024,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Danville (USA, PA)",9489,core,core,core,2,0.336921619203032,2.147269551441207e-07,3,Isolated Clique,0
"East Hampton (USA, NY)",207,core,core,core,0,0.347730421318556,0.0,3,Isolate,0
"Carey (USA, OH)",3206,core,core,core,0,0.3475699158294868,1.760141053598635e-07,4,Isolated Clique,0
"Chicora (USA, PA)",1113,core,core,core,0,0.3260819726418218,0.0,1,Isolate,0
"Edelstein (USA, IL)",81,core,core,core,1,0.3048800819301212,0.0,0,Isolated Clique,0
"Punxsutawney (USA, PA)",5643,core,core,core,1,0.3435772183155296,3.067981086390871e-06,5,Isolate,0
"Weatherly (USA, PA)",2372,core,core,core,0,0.3272239263803681,0.0,2,Isolate,0
"Galesburg (USA, IL)",25714,core,core,core,0,0.3468353744445649,1.361821222118832e-06,7,Isolated Clique,0
"Rensselaer (USA, IN)",5720,core,core,core,0,0.3216493291120157,4.89046606138999e-08,2,Isolate,0
"Woodland (USA, PA)",238,core,core,core,0,0.3144050104384133,0.0,1,Isolate,0
"Karns City (USA, PA)",238,core,core,core,0,0.3119760187170988,0.0,1,Isolate,0
"North Manchester (USA, IN)",5060,core,core,core,2,0.3372056266793109,5.318787653224492e-07,1,Isolated Clique,0
"Clearfield (USA, PA)",7162,core,core,core,4,0.3472776104826239,1.042323813062217e-06,2,Isolated Clique,0
"Creston (USA, IA)",6984,core,core,core,2,0.3255926340421202,3.240015563914977e-06,3,Isolated Clique,0
"Wenona (USA, IL)",448,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Sykesville (USA, PA)",848,core,core,core,4,0.3272239263803681,0.0,0,Isolated Clique,0
"Berwick (USA, PA)",781,core,core,core,0,0.3341250783044477,7.196570909121941e-08,4,Isolate,0
"Akron (USA, IN)",1100,core,core,core,0,0.2835153152754092,0.0,1,Isolate,0
"New Columbia (USA, PA)",2184,core,core,core,0,0.3215281440735438,0.0,1,Isolate,0
"Marshalls Creek (USA, PA)",154,core,core,core,0,0.3272239263803681,0.0,1,Isolate,0
"Osceola (USA, IA)",4626,core,core,core,0,0.3431443506232408,1.386597988321767e-06,3,Isolate,0
"Greenwich (USA, OH)",1142,core,core,core,0,0.3019103773584906,0.0,1,Isolate,0
"Loganton (USA, PA)",385,core,core,core,0,0.3339333228987322,0.0,2,Isolate,0
"Toluca (USA, IL)",1055,core,core,core,0,0.3383732917448653,0.0,1,Isolate,0
"Albia (USA, IA)",3549,core,core,core,0,0.3340989168732872,4.41324754069373e-09,3,Isolate,0
"Findlay (USA, OH)",40267,core,core,core,34,0.375439934303144,6.281278913189242e-05,17,High-status clique,0
"Chariton (USA, IA)",3934,core,core,core,0,0.2959768786127168,0.0,1,Isolate,0
"Ottumwa (USA, IA)",15196,core,core,core,0,0.3487820827202877,1.730414684833696e-08,5,Isolate,0
"Petrolia (USA, PA)",256,core,core,core,0,0.3270483636084924,0.0,1,Isolate,0
"Milton (USA, PA)",6456,core,core,core,0,0.3301098561039765,0.0,2,Isolate,0
"Red Oak (USA, IA)",5207,core,core,core,0,0.312036856474259,0.0,1,Isolate,0
"Fairfield (USA, IA)",6107,core,core,core,4,0.3264145651120687,1.159655870101756e-05,4,Isolated Clique,0
"Mediapolis (USA, IA)",1524,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Ottoville (USA, OH)",621,core,core,core,0,0.3168329084473925,0.0,2,Isolate,0
"Gothenburg (USA, NE)",584,core,core,core,1,0.2554987824837332,0.0003124511756893994,1,Isolate,1
"Neponset (USA, IL)",402,core,core,core,10,0.3327614442798097,1.13979669166982e-06,0,Isolated Clique,0
"Columbus Grove (USA, OH)",2291,core,core,core,4,0.3283317943982764,0.0001562377939223499,2,Isolated Clique,0
"Elko (USA, NV)",11242,core,core,core,0,0.3336461021190085,8.224453208112566e-07,7,Isolate,0
"Essex (USA, IA)",697,core,core,core,0,0.3120901089792038,0.0,1,Isolate,0
"Delphos (USA, OH)",7057,core,core,core,2,0.3278944672131148,1.242782265951986e-07,0,Isolated Clique,0
"Worthington (USA, PA)",524,core,core,core,0,0.2330420535226652,0.0,1,Isolate,0
"Delano (USA, PA)",274,core,core,core,0,0.3430431986279344,0.0,2,Isolate,0
"Hackettstown (USA, NJ)",16534,core,core,core,6,0.3473624226636275,5.332144770049372e-09,8,Isolated Clique,0
"Wood River (USA, NE)",1398,core,core,core,0,0.3121205471435886,2.149761860259484e-07,2,Isolate,0
"Mexico (USA, IN)",384,core,core,core,0,0.2605801526717557,0.0,1,Isolate,0
"Upper Sandusky (USA, OH)",4964,core,core,core,0,0.3489817616749816,4.862926388430178e-06,8,Isolated Clique,0
"Kittanning (USA, PA)",5904,core,core,core,8,0.3038452409209589,0.0001562377939223498,9,Isolated Clique,0
"Lansford (USA, PA)",8814,core,core,core,0,0.2513992812113356,0.0,1,Isolate,0
Humanes (Spain),763,semi,core,core,0,0.3238381947431,0.0,1,Isolate,0
Tortosa (Spain),17032,semi,core,core,0,0.3406786427145709,0.0,2,Isolate,0
"Barnesville (USA, PA)",133,core,core,core,0,0.3212699209436567,0.0,1,Isolate,0
"Wabash (USA, IN)",6768,core,core,core,1,0.3458701467131393,5.965612729369267e-07,10,Isolated Clique,0
"Wooster (USA, OH)",19542,core,core,core,8,0.368819868618186,7.116176424499664e-06,22,High-status clique,0
Goshogawara (Japan),12430,core,core,core,0,0.3383732917448653,0.0,1,Isolate,0
"Roanoke (USA, IL)",1941,core,core,core,0,0.3238381947431,0.0,1,Isolate,0
"Forest (USA, OH)",1498,core,core,core,0,0.3272239263803681,0.0,1,Isolate,0
"Bucyrus (USA, OH)",9548,core,core,core,0,0.3460571490362521,5.974598931371528e-06,9,Isolate,0
"Selinsgrove (USA, PA)",6033,core,core,core,0,0.2650694717660945,0.0,1,Isolate,0
Vale de Cambra (Portugal),21761,semi,core,core,0,0.3128757882387447,0.0,1,Isolate,0
"Middlebury (USA, OH)",84,core,core,core,0,0.3339333228987322,0.0,1,Isolate,0
"Grant (USA, NE)",1052,core,core,core,0,0.3211329085344438,0.0001562377939223498,2,Isolate,0
"Burney (USA, CA)",2812,core,core,core,0,0.3294641478354867,0.0,2,Isolate,0
"Olanta (USA, PA)",41,core,core,core,0,0.2489691924692703,0.0,1,Isolate,0
"Grand Island (USA, NE)",39787,core,core,core,18,0.333454895933731,0.0003197182589900623,12,Isolated Clique,0
"Seward (USA, NE)",5845,core,core,core,0,0.2594920030001419,0.0,1,Isolate,0
"Monmouth (USA, IL)",8017,core,core,core,0,0.3231841248201167,0.0,1,Isolate,0
"Bluffton (USA, OH)",3691,core,core,core,0,0.3164100155720889,0.0,2,Isolate,0
"Kresgeville (USA, PA)",396,core,core,core,0,0.3038308174309314,0.0,1,Isolate,0
Sao Joao da Madeira (Portugal),17572,semi,core,core,0,0.3397112679794066,0.0,1,Isolate,0
"Huntington (USA, IN)",13445,core,core,core,1,0.3586317028071945,1.794631197981001e-07,7,Isolated Clique,0
Castellana Grotte (Italy),15370,core,core,core,0,0.3019103773584906,0.0,1,Isolate,0
"Ashkum (USA, IL)",645,core,core,core,0,0.2759728360461356,0.0,1,Isolate,0
Alexandroupoli (Greece),37882,core,core,core,1,0.3169035005198792,0.0,1,Isolated Clique,0
"East Butler (USA, PA)",656,core,core,core,0,0.3239119433198381,0.0,2,Isolate,0
"Aurora (USA, NE)",3872,core,core,core,4,0.334517992003554,6.544174382338497e-06,4,Isolated Clique,0
"York (USA, NE)",6793,core,core,core,0,0.3298291721419185,0.0,2,Isolate,0
"Pontiac (USA, IL)",10672,core,core,core,2,0.2503520300398968,0.0,1,Isolated Clique,0
"Monon (USA, IN)",1650,core,core,core,0,0.3296253379683275,1.208294127572765e-08,4,Isolate,0
"Van Wert (USA, OH)",9893,core,core,core,3,0.3520820727212718,3.07893612159043e-07,6,Isolated Clique,0
"Ashland (USA, OH)",11062,core,core,core,0,0.3538240415710772,7.43195972879026e-07,10,Isolated Clique,0
"Osceola Mills (USA, PA)",1607,core,core,core,0,0.2707544575815901,0.0,1,Isolate,0
"Spring Mills (USA, PA)",470,core,core,core,0,0.3234127485409666,0.0,1,Isolate,0
"Newton (USA, NJ)",8437,core,core,core,0,0.3385880921522469,7.201509576435729e-07,2,Isolate,0
"Rochester (USA, IN)",6984,core,core,core,0,0.3437063688110837,0.0,2,Isolate,0
"Winamac (USA, IN)",2522,core,core,core,0,0.3535504184273759,9.322999570343859e-08,4,Isolate,0
Persembe (Turkey),8007,semi,core,core,0,0.3295659337830184,0.0,1,Isolate,0
"Cygnet (USA, OH)",605,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Monroeville (USA, OH)",345,core,core,core,0,0.2886358511837655,0.0,1,Isolate,0
"Norwalk (USA, OH)",12631,core,core,core,0,0.33506962621715,0.0,3,Isolate,0
"Kewanee (USA, IL)",9244,core,core,core,4,0.3494390303824421,8.947446519591075e-06,7,Isolated Clique,1
"Mercer (USA, PA)",2289,core,core,core,0,0.3392341327679873,1.790518467237401e-06,4,Isolate,0
"Williamsport (USA, PA)",38397,core,core,core,18,0.3606626658777787,0.0004350945909280672,17,High-status clique,0
Castelnou (Spain),41,semi,core,core,0,0.3397112679794066,0.0,1,Isolate,0
Flix (Spain),2746,semi,core,core,0,0.3188690995142608,0.0,2,Isolate,0
"North Judson (USA, IN)",1461,core,core,core,0,0.2883822568654396,0.0,1,Isolate,0
"Culver (USA, IN)",1350,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Fremont (USA, IA)",613,core,core,core,0,0.3272239263803681,0.0,1,Isolate,0
"Clarion (USA, PA)",6970,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Pierceton (USA, IN)",1017,core,core,core,0,0.3215281440735438,0.0,1,Isolate,0
"Muncy (USA, PA)",2980,core,core,core,0,0.3506738987508218,0.0,2,Isolate,0
"Woolrich (USA, PA)",403,core,core,core,3,0.3318298467999067,0.0,1,Isolated Clique,0
"Jersey Shore (USA, PA)",5509,core,core,core,0,0.3052217453505007,0.0,1,Isolate,0
"Benton (USA, PA)",864,core,core,core,0,0.2999086287280651,0.0,1,Isolate,0
Navas de Oro (Spain),1127,semi,core,core,0,0.298370743304664,0.0,1,Isolate,0
Pignataro Maggiore (Italy),4910,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"North Baltimore (USA, OH)",3362,core,core,core,0,0.3270400081753615,0.0,2,Isolate,0
Kavaje (Albania),2157,periph,semi,periph,0,0.2896940345795239,0.0,1,Isolate,0
"Warsaw (USA, IN)",14058,core,core,core,74,0.4050564819795589,0.0001886522641777997,12,Primary,0
"Kimball (USA, NE)",750,core,core,core,0,0.3068974611013881,0.0,1,Isolate,0
Santa Oliva (Spain),265,semi,core,core,0,0.3209396780825352,0.0,2,Isolate,0
"Columbus Junction (USA, IA)",1282,core,core,core,0,0.2793453355155483,0.0,1,Isolate,0
"Tiskilwa (USA, IL)",403,core,core,core,0,0.3226139771667633,0.0,1,Isolate,0
"Oglesby (USA, IL)",3350,core,core,core,0,0.3339333228987322,0.0,2,Isolate,0
"Knox (USA, IN)",3463,core,core,core,0,0.3347541841004184,0.0,3,Isolate,0
"Clyde (USA, OH)",6051,core,core,core,0,0.3136961795770333,8.058889220749583e-09,2,Isolate,0
"Milan (USA, OH)",1372,core,core,core,0,0.3218434152964248,0.0,1,Isolate,0
"Niantic (USA, CT)",7013,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Ansley (USA, NE)",221,core,core,core,2,0.3120901089792038,0.0,1,Isolated Clique,0
Olmedo (Spain),69,semi,core,core,0,0.3397112679794066,0.0,1,Isolate,0
Valls (Spain),20163,semi,core,core,0,0.3232412504418969,0.0,2,Isolate,0
Puigpelat (Spain),163,semi,core,core,0,0.3295659337830184,0.0,1,Isolate,0
"Nantucket (USA, MA)",7648,core,core,core,0,0.3456180139316378,0.0,4,Isolated Clique,0
"Defiance (USA, OH)",10791,core,core,core,12,0.3497923270302765,6.926988056532034e-06,10,Isolated Clique,0
"Mountain View (USA, WY)",359,core,core,core,0,0.3353065982135841,0.0,2,Isolate,0
"Bellevue (USA, OH)",7783,core,core,core,0,0.3209799152478624,1.502536056555066e-07,2,Isolate,0
"Huntsville (USA, UT)",342,core,core,core,0,0.3041845876006939,0.0,1,Isolate,0
"David City (USA, NE)",2590,core,core,core,0,0.3288631984585742,0.0,1,Isolate,0
"Hennepin (USA, IL)",211,core,core,core,1,0.2978847183114979,5.236820392688759e-08,1,Isolated Clique,0
"Wakeman (USA, OH)",375,core,core,core,0,0.319585569841468,0.0,1,Isolate,0
"Evanston (USA, WY)",10456,core,core,core,0,0.3387045562787744,3.379925380023351e-06,8,Isolated Clique,0
"Shippenville (USA, PA)",506,core,core,core,0,0.3342908625597368,0.0,2,Isolate,0
"Woodhull (USA, IL)",566,core,core,core,0,0.3272239263803681,0.0,1,Isolate,0
"Mentone (USA, IN)",1046,core,core,core,0,0.2471808140882058,0.0,1,Isolate,0
"Emlenton (USA, PA)",398,core,core,core,0,0.3212699209436567,0.0,1,Isolate,0
"Arcadia (USA, OH)",314,core,core,core,0,0.3339333228987322,0.0,1,Isolate,0
Ohrid (Macedonia),37379,core,semi,periph,0,0.2802934092402015,0.0,1,Isolate,0
Komotini (Greece),38547,core,core,core,0,0.3250965054855749,1.206743434139395e-07,3,Isolate,0
"Central City (USA, NE)",2454,core,core,core,0,0.3120901089792038,0.0,1,Isolate,0
"Stromsburg (USA, NE)",880,core,core,core,0,0.3231841248201167,0.0,1,Isolate,0
"Tiffin (USA, OH)",17721,core,core,core,5,0.3438540883206189,9.078725458853211e-06,14,Isolated Clique,0
"Mount Pocono (USA, PA)",5808,core,core,core,0,0.3271904713219507,2.185838204886996e-07,2,Isolate,0
"Continental (USA, OH)",536,core,core,core,0,0.3339333228987322,0.0,1,Isolate,0
"Leipsic (USA, OH)",2076,core,core,core,0,0.3433560431307333,0.0,3,Isolate,0
"McComb (USA, OH)",1712,core,core,core,0,0.3429053601564384,0.0,2,Isolated Clique,0
"Reynoldsville (USA, PA)",2735,core,core,core,2,0.2232862375719518,0.0,1,Isolated Clique,0
"Lock Haven (USA, PA)",4914,core,core,core,0,0.3307239187722834,1.371272070875802e-06,5,Isolate,0
"Pocono Lake (USA, PA)",264,core,core,core,0,0.3272239263803681,0.0,2,Isolate,0
"Dwight (USA, IL)",3995,core,core,core,0,0.3339507461129083,0.0001562377939223498,2,Isolate,0
"Parker (USA, PA)",570,core,core,core,0,0.3038885196087741,0.0,1,Isolate,0
"Blakeslee (USA, PA)",427,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Watsontown (USA, PA)",4037,core,core,core,0,0.3277685315580591,0.0,1,Isolate,0
"Swiftwater (USA, PA)",257,core,core,core,0,0.3397112679794066,0.0,1,Isolate,0
Serres (Greece),42240,core,core,core,0,0.314466799321984,0.0,1,Isolate,0
"Valparaiso (USA, NE)",387,core,core,core,0,0.3270483636084924,0.0,1,Isolate,0
Flumeri (Italy),450,core,core,core,0,0.3369748341581552,0.0,2,Isolate,0
"Millville (USA, PA)",704,core,core,core,0,0.3272239263803681,0.0,1,Isolate,0
"Du Bois (USA, PA)",8487,core,core,core,8,0.3314947172156619,0.0001730240401101337,4,Low-status clique,0
"Mountainhome (USA, PA)",487,core,core,core,0,0.292093553907587,0.0,1,Isolate,0
Corato (Italy),45790,core,core,core,0,0.2976076999976751,0.0,1,Isolate,0
"Wellington (USA, OH)",3322,core,core,core,0,0.322021533507748,4.346238563519781e-08,2,Isolate,0
"Grove City (USA, PA)",9781,core,core,core,0,0.3351222577098277,0.0,2,Isolate,0
"Montgomery (USA, PA)",2339,core,core,core,0,0.3174614984004167,6.296236062981078e-07,3,Isolate,0
"Sutherland (USA, NE)",1282,core,core,core,0,0.3276846281837962,0.0,1,Isolate,0
"Fostoria (USA, OH)",12944,core,core,core,17,0.352401927047488,0.0005014084143474985,8,Isolated Clique,0
"Brookville (USA, PA)",3851,core,core,core,0,0.287469121940265,0.0001563444155999736,3,Isolate,0
"McElhattan (USA, PA)",387,core,core,core,0,0.2650694717660945,0.0,1,Isolate,0
"Cresco (USA, PA)",301,core,core,core,0,0.2571824647406276,0.0,1,Isolate,0
Turegano (Spain),519,semi,core,core,0,0.3272573882810103,0.0,1,Isolate,0
Drama (Greece),29156,core,core,core,1,0.2530341964815181,0.0,0,Isolated Clique,0
"Streator (USA, IL)",13354,core,core,core,0,0.3339507461129083,7.066677448964982e-07,5,Isolated Clique,0
"Branchville (USA, NJ)",1150,core,core,core,8,0.3419983970077478,0.0,5,Isolated Clique,0
Falset (Spain),2875,semi,core,core,0,0.2748470209339774,0.0,1,Isolate,0
"Paulding (USA, OH)",2407,core,core,core,0,0.3316407160807275,0.0,2,Isolate,0
"Augusta (USA, NJ)",131,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
"Sidney (USA, NE)",6227,core,core,core,7,0.3411507608666685,0.0001564024765177478,0,Isolated Clique,0
Benevento (Italy),46342,core,core,core,0,0.3281886937572106,3.536390635222669e-08,2,Isolate,0
"Ogallala (USA, NE)",3928,core,core,core,0,0.3275337103088299,1.629676505531813e-07,2,Isolate,0
"North Platte (USA, NE)",20365,core,core,core,0,0.3374990113106067,1.520340690827689e-06,4,Isolate,0
Amarante (Portugal),275525,semi,core,core,0,0.3110511736404724,0.0,1,Isolate,0
"Lansing (USA, IA)",705,core,core,core,0,0.3272239263803681,0.0,1,Isolate,0
"Laconia (USA, NH)",15648,core,core,core,0,0.3548244033594811,1.577196336272455e-07,7,Isolated Clique,0
Nogueres (France),367,core,core,core,0,0.3212699209436567,0.0,1,Isolate,0
Hoyt (Canada),110,core,core,core,0,0.2943773715074163,0.0,1,Isolate,0
Marbleton (Canada),156,core,core,core,0,0.3144050104384133,0.0,1,Isolate,0
Port Hawkesbury (Canada),21,core,core,core,0,0.3195137779552716,1.566139467944876e-07,2,Isolate,0
La Chapelle-Agnon (France),82,core,core,core,0,0.3247830720048714,0.0,1,Isolate,0
Saint-Symphorien-sur-Coise (France),4094,core,core,core,0,0.3367177841491964,0.0,2,Isolate,0
Les Avenieres (France),4621,core,core,core,0,0.3429053601564384,0.0,1,Isolate,0
Carmignano di Brenta (Italy),14954,core,core,core,0,0.2577520940721649,0.0,1,Isolate,0
"Dallesport (USA, WA)",306,core,core,core,0,0.3212699209436567,0.0,1,Isolate,0
L'Orignal (Canada),1453,core,core,core,0,0.3339333228987322,0.0,1,Isolate,0
Becej (Serbia),11945,core,semi,semi,0,0.328508738163061,0.0,3,Isolated Clique,0
"The Dalles (USA, OR)",11720,core,core,core,0,0.3290745501285347,5.175305363393173e-08,3,Isolate,0
"Medway (USA, ME)",182,core,core,core,0,0.3128757882387447,0.0,1,Isolate,0
Montbrison (France),8801,core,core,core,0,0.3125091548264245,0.0,2,Isolate,0
Hone (Italy),1235,core,core,core,0,0.3339333228987322,0.0,1,Isolate,0
Piombino Dese (Italy),5432,core,core,core,6,0.3272406564752799,5.548946487728029e-07,3,Isolated Clique,0
Kozina (Slovenia),1110,semi,semi,core,0,0.3223296570478924,0.0,2,Isolate,0
Thurso (Canada),2285,core,core,core,0,0.3201450543953983,4.001025063108396e-07,2,Isolate,0
Hawkesbury (Canada),8687,core,core,core,0,0.3369038846194336,1.784024252268158e-07,8,Isolated Clique,0
Point Tupper (Canada),32,core,core,core,0,0.3054329412326119,0.0,1,Isolate,0
Pont San Martin (Italy),6144,core,core,core,0,0.3365849810685738,0.0,1,Isolate,0
Grantorto (Italy),3471,core,core,core,0,0.3247830720048714,0.0,1,Isolate,0
Novi Becej (Serbia),8654,core,semi,semi,0,0.2218621096051856,0.0,2,Isolate,0
"Goodman (USA, WI)",196,core,core,core,0,0.2075153598002821,0.0,1,Isolate,0
San Dona di Piave (Italy),35727,core,core,core,0,0.2673670579389281,0.0,1,Isolate,0
Breganze (Italy),15419,core,core,core,0,0.3244373479318735,0.0,2,Isolate,0
