pretty_name,population,WSP_Art_new,wsp2,cb3,outdegree,closeness_bi,betweenness_bi,indegree,position,singleton
"Mankato (USA, MN)",45966,core,core,core,66,0.3837460279393249,0.0002053660457082718,37,Primary,0
Dax (France),20599,core,core,core,12,0.3483170525972082,0.0001653075387513965,0,Isolated Clique,0
"Sheboygan Falls (USA, WI)",9714,core,core,core,26,0.3732396419511911,0.0001864579142472799,5,Low-status clique,0
Douliu (Taiwan),50510,periph,,,4,0.3452451588543071,0.0003125036610229888,4,Isolated Clique,0
Pietarsaari (Finland),6642,semi,core,core,0,0.3307837411819427,3.67245673046589e-07,9,High-status clique,0
Monte Carlo (Monaco),41759,semi,,,54,0.3991456455988276,0.0002271517917239704,59,Primary,0
"Coxsackie (USA, NY)",2486,core,core,core,0,0.3461975335352661,0.0,2,Isolate,0
Heitersheim (Germany),9370,core,core,core,0,0.308086642599278,6.71654091129337e-08,3,Isolate,0
Douglas (Isle of Man),35077,semi,,,69,0.3801449189285502,0.000216644531294558,50,Primary,0
Povazska Bystrica (Slovakia),15985,periph,semi,semi,0,0.3258495609011073,4.547120100742714e-09,3,Isolate,0
Gmund (Austria),8327,core,,,0,0.3190598439719847,1.383306954132427e-08,3,Isolate,0
"Conover (USA, NC)",55154,core,core,core,1,0.3651377716926236,1.271032274178343e-05,19,Isolated Clique,0
"Dover (USA, DE)",37974,core,core,core,40,0.3712694683720525,0.0005374400508617438,29,Primary,0
Sable-sur-Sarthe (France),11973,core,core,core,20,0.3463286618689465,0.001440179928506408,1,Low-status clique,0
Ina (Japan),62423,core,core,core,0,0.3412417028763362,0.0,6,Isolated Clique,0
"Hurricane (USA, WV)",8991,core,core,core,7,0.3322259998442813,2.672453187738511e-05,3,Isolated Clique,0
Balzers (Liechtenstein),8355,core,,,0,0.3477493140637309,2.122201120818489e-06,7,Isolated Clique,0
"Grand Haven (USA, MI)",13938,core,core,core,25,0.3666962674381964,0.0001700154337269759,15,Primary,0
Saint Andrew's (Guernsey),17436,semi,,,7,0.3467414269462051,1.459508017814241e-08,0,Isolated Clique,0
Beasain (Spain),21148,semi,core,core,0,0.3246842185359915,0.0,2,Isolate,0
Meerhout (Belgium),27749,core,core,core,0,0.360418954303573,1.124226767201683e-06,18,Isolated Clique,0
"Arden (USA, NC)",30814,core,core,core,0,0.3417245061398825,7.555336972154431e-07,9,Isolate,0
Beringen (Belgium),36625,core,core,core,9,0.3636544416351808,7.964872225322926e-06,8,Isolated Clique,0
"Canajoharie (USA, NY)",2767,core,core,core,0,0.3432547663100314,0.0,4,Isolated Clique,0
Niedernhall (Germany),9307,core,core,core,3,0.3285508957445716,2.131714303607911e-06,9,Isolate,1
Delfzijl (Netherlands),10669,core,core,core,0,0.348421339139902,5.814192201664632e-06,14,Isolate,0
Komatsu (Japan),139502,core,core,core,12,0.3426758753613877,1.33506895580258e-06,13,Isolated Clique,0
Wolfurt (Austria),19957,core,core,core,41,0.3583305340947263,0.0005579342947937336,6,Low-status clique,0
"Moca (USA, PR)",92060,core,core,core,14,0.3750329593062433,3.172883825179416e-05,17,Isolated Clique,0
Egliswil (Switzerland),12981,core,core,core,0,0.338659752903516,6.555776154191749e-07,3,Isolate,0
"Longview (USA, WA)",45825,core,core,core,6,0.3633963549650826,9.386553290255581e-08,9,Isolated Clique,0
Gorlitz (Germany),59763,core,,,0,0.3079013830426939,4.231252193123465e-09,2,Isolate,0
Shimotsuwa (Japan),65606,core,core,core,0,0.3421812349639134,0.0,3,Isolate,0
Calcinato (Italy),13804,core,core,core,0,0.3188690995142608,0.0,4,Isolated Clique,0
"New London (USA, CT)",52796,core,core,core,2,0.361671469740634,1.498394841435984e-05,14,Isolated Clique,0
Maranello (Italy),17783,core,core,core,8,0.3693199849975477,9.221632213336796e-07,5,Isolated Clique,0
Neuhaus am Rennweg (Germany),8276,core,core,core,0,0.3383464608553153,0.0,3,Isolate,0
Schwarzenberg (Germany),6526,core,core,core,0,0.3252947753608457,0.0,2,Isolate,0
Altstatten (Switzerland),22910,core,core,core,29,0.3795250378012986,0.000215087099497218,5,Isolated Clique,0
The Valley (Anguilla),8440,periph,semi,periph,0,0.345096241979835,3.199962516230565e-06,6,Isolate,0
Marignier (France),16397,core,core,core,0,0.3506354771556919,9.50175171985262e-08,6,Isolated Clique,0
Saku (Japan),103661,core,core,core,0,0.3402711323763956,0.0,5,Isolate,0
Bonneville (France),20376,core,core,core,0,0.3489912758996728,2.221076299659109e-06,5,Isolate,0
"Wenatchee (USA, WA)",50329,core,core,core,1,0.3272406564752799,0.0001565855175071872,5,Isolate,0
Port Colborne (Canada),8278,core,core,core,0,0.3398736193712829,0.0,5,Isolated Clique,0
Sorel-Tracy (Canada),30478,core,core,core,1,0.3497063242726404,1.85012282200354e-05,7,Isolated Clique,0
Proleb (Austria),4045,core,core,core,0,0.3223702435216198,0.0,3,Isolate,0
Laakirchen (Austria),13024,core,core,core,13,0.3460010271103062,0.0001696948730632767,7,Isolated Clique,0
Saint-Cesaire (Canada),4818,core,core,core,0,0.3287618460590184,4.437979100278378e-07,4,Isolate,0
Lenzing (Austria),15715,core,core,core,13,0.3543921818332826,2.001073150817476e-06,12,Isolated Clique,0
Rupperswil (Switzerland),11858,core,core,core,0,0.3419709881655224,0.0,2,Isolate,0
Stathelle (Norway),28040,core,core,core,0,0.3334114705422722,3.376146615187516e-07,9,Isolate,0
Otsuki (Japan),38740,core,core,core,0,0.3383732917448653,0.0,2,Isolated Clique,0
Waidhofen (Austria),11594,core,core,core,13,0.3568322461950159,2.127625682726584e-06,5,Isolated Clique,0
Mackay (Australia),20881,core,core,core,0,0.3498783720993796,3.983787825673057e-06,15,Isolated Clique,0
Sarpsborg (Norway),62555,core,core,core,0,0.345935574532483,0.0,8,Isolate,0
Brixlegg (Austria),10255,core,core,core,0,0.3315719947159841,0.0,2,Isolate,0
"Texarkana (USA, TX)",32309,core,core,core,3,0.3592254805668584,8.687901541862459e-07,17,Isolated Clique,0
"Dennison (USA, OH)",8037,core,core,core,0,0.3315033018257154,0.0,3,Isolate,0
Gorizia (Italy),44746,core,,,0,0.3380694572824508,4.892751537666707e-06,12,Isolate,0
"Westerly (USA, RI)",16287,core,core,core,2,0.347815454841865,5.110120088349733e-07,7,Isolated Clique,0
Wil (Switzerland),23311,core,core,core,0,0.3430891694138458,3.569041273360291e-06,9,Isolate,0
Landau (Germany),10728,core,core,core,34,0.3617123481209381,0.0001720708238031236,5,Low-status clique,0
Castelvecchio Pascoli (Italy),4512,core,core,core,10,0.3549227825990517,1.732526924990928e-06,2,Isolated Clique,0
"Hollidaysburg (USA, PA)",15365,core,core,core,2,0.3431443506232408,6.541037369938279e-08,3,Isolated Clique,0
"Juneau (USA, AK)",7008,core,core,core,26,0.3463380319796542,1.30165644369794e-05,9,Isolated Clique,0
Utting (Germany),7832,core,core,core,0,0.3352714701029308,0.0,3,Isolate,0
Morlaix (France),14551,core,core,core,0,0.3397383157727116,2.837359767526771e-06,3,Isolate,0
Vear (Norway),36270,core,core,core,0,0.3505202628696605,1.89073953177977e-06,7,Isolate,0
Saint Nazaire (France),50728,core,core,core,0,0.3612326099839151,1.475014055051141e-07,10,Isolated Clique,0
"Corning (USA, NY)",15705,core,core,core,41,0.3727180084437327,2.968366245360637e-05,5,Primary,0
Reutte (Austria),10980,core,core,core,50,0.3716467309255603,0.0007042131885124854,3,Primary,0
Marquain (Belgium),6641,core,core,core,0,0.3229802694656103,0.0,2,Isolate,0
Bregenz (Austria),45415,core,core,core,63,0.3829997307243515,0.001090232488057368,9,Primary,0
Frick (Switzerland),8906,core,core,core,4,0.3465161604677603,3.742734123692741e-06,2,Isolated Clique,0
"Hendersonville (USA, NC)",45473,core,core,core,1,0.3514634012410082,9.55533840726964e-07,10,Isolated Clique,0
Netzschkau (Germany),5614,core,core,core,0,0.3178556352891516,0.0,2,Isolate,0
